#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
282796:5394,81:0,1476108736,STABLE BEAMS,6500,13165.908874422,0,42.4,PLTZERO
282796:5394,82:0,1476108760,STABLE BEAMS,6500,13161.191160104,0,42.4,PLTZERO
282799:5394,1:1,1476108773,STABLE BEAMS,6500,13153.827530776,7.892822132,42.4,PLTZERO
282799:5394,2:2,1476108796,STABLE BEAMS,6500,13057.540889256,0,42.1,PLTZERO
282799:5394,3:3,1476108820,STABLE BEAMS,6500,12757.694489075,0,41.1,PLTZERO
282799:5394,4:0,1476108843,STABLE BEAMS,6500,12769.311691407,0,41.2,PLTZERO
282799:5394,5:0,1476108866,STABLE BEAMS,6500,12502.693787801,0,40.3,PLTZERO
282799:5394,6:0,1476108890,STABLE BEAMS,6500,12104.420251972,0,39.0,PLTZERO
282799:5394,7:0,1476108913,STABLE BEAMS,6500,13091.321413723,0,42.2,PLTZERO
282799:5394,8:0,1476108936,STABLE BEAMS,6500,12914.134105261,0,41.6,PLTZERO
282799:5394,9:0,1476108960,STABLE BEAMS,6500,12898.596847422,0,41.6,PLTZERO
282799:5394,10:0,1476108983,STABLE BEAMS,6500,12895.067782796,0,41.6,PLTZERO
282799:5394,11:0,1476109006,STABLE BEAMS,6500,12896.029049927,0,41.6,PLTZERO
282799:5394,12:0,1476109029,STABLE BEAMS,6500,12888.008404276,0,41.5,PLTZERO
282800:5394,1:1,1476109035,STABLE BEAMS,6500,12891.892586907,11862.609396496,41.6,PLTZERO
282800:5394,2:2,1476109058,STABLE BEAMS,6500,12898.369101893,12213.257823789,41.6,PLTZERO
282800:5394,3:3,1476109081,STABLE BEAMS,6500,12881.824919594,12344.955796808,41.5,PLTZERO
282800:5394,4:4,1476109105,STABLE BEAMS,6500,12857.060990165,12349.326223636,41.4,PLTZERO
282800:5394,5:5,1476109128,STABLE BEAMS,6500,6834.905192233,6595.958397303,22.0,PLTZERO
282800:5394,6:6,1476109151,STABLE BEAMS,6500,3831.324880381,3814.267957963,12.3,PLTZERO
282800:5394,7:7,1476109174,STABLE BEAMS,6500,10473.697065566,10269.145194391,33.8,PLTZERO
282800:5394,8:8,1476109198,STABLE BEAMS,6500,11982.110834545,11523.984497811,38.6,PLTZERO
282800:5394,9:9,1476109221,STABLE BEAMS,6500,6077.898627483,6030.869400202,19.6,PLTZERO
282800:5394,10:10,1476109244,STABLE BEAMS,6500,6151.804781691,6061.147005420,19.8,PLTZERO
282800:5394,11:11,1476109268,STABLE BEAMS,6500,939.892170054,937.976713218,3.0,PLTZERO
282800:5394,12:12,1476109291,STABLE BEAMS,6500,5276.791907184,5244.010651194,17.0,PLTZERO
