#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
274966:5013,73:73,1465683769,STABLE BEAMS,6500,7643.467953193,0,26.8,HFOC
274966:5013,74:74,1465683792,STABLE BEAMS,6500,7438.812783786,0,26.1,HFOC
274966:5013,75:75,1465683816,STABLE BEAMS,6500,8041.412609252,0,28.2,HFOC
274966:5013,76:76,1465683839,STABLE BEAMS,6500,8061.670059741,0,28.3,HFOC
274966:5013,77:77,1465683862,STABLE BEAMS,6500,7581.976069296,0,26.6,HFOC
274966:5013,78:78,1465683885,STABLE BEAMS,6500,7569.517562353,0,26.6,HFOC
274966:5013,79:79,1465683909,STABLE BEAMS,6500,8568.733186206,0,30.1,HFOC
274966:5013,80:0,1465683932,STABLE BEAMS,6500,8685.346670741,0,30.5,HFOC
274966:5013,81:0,1465683955,STABLE BEAMS,6500,8685.699812099,0,30.5,HFOC
274966:5013,82:0,1465683979,STABLE BEAMS,6500,8681.678161878,0,30.5,HFOC
274966:5013,83:0,1465684002,STABLE BEAMS,6500,8676.290514460,0,30.4,HFOC
274966:5013,84:0,1465684025,STABLE BEAMS,6500,8671.387834730,0,30.4,HFOC
274966:5013,85:0,1465684049,STABLE BEAMS,6500,8672.860290210,0,30.4,HFOC
274966:5013,86:0,1465684072,STABLE BEAMS,6500,8670.872585652,0,30.4,HFOC
274966:5013,87:0,1465684095,STABLE BEAMS,6500,8667.270480090,0,30.4,HFOC
274966:5013,88:0,1465684119,STABLE BEAMS,6500,8659.336960536,0,30.4,HFOC
274967:5013,1:1,1465684124,STABLE BEAMS,6500,8661.422764212,3471.454788760,30.4,HFOC
274967:5013,2:2,1465684147,STABLE BEAMS,6500,8650.191547179,3499.170114098,30.4,HFOC
274967:5013,3:3,1465684170,STABLE BEAMS,6500,8643.654396769,1352.397390407,30.3,HFOC
274967:5013,4:4,1465684193,STABLE BEAMS,6500,8638.952199117,4167.728166407,30.3,HFOC
274967:5013,5:5,1465684217,STABLE BEAMS,6500,8641.817664765,1441.127263780,30.3,HFOC
274967:5013,6:6,1465684240,STABLE BEAMS,6500,8642.482756782,2033.556656388,30.3,HFOC
274967:5013,7:7,1465684263,STABLE BEAMS,6500,8641.842099284,641.360448516,30.3,HFOC
274967:5013,8:8,1465684287,STABLE BEAMS,6500,8639.129804885,1310.651940172,30.3,HFOC
274967:5013,9:9,1465684310,STABLE BEAMS,6500,8636.947242607,1961.423561128,30.3,HFOC
274967:5013,10:10,1465684333,STABLE BEAMS,6500,8634.297899820,890.199731626,30.3,HFOC
274967:5013,11:11,1465684357,STABLE BEAMS,6500,8633.227995938,2732.010212112,30.3,HFOC
274967:5013,12:12,1465684380,STABLE BEAMS,6500,8632.094293519,1329.145326924,30.3,HFOC
274967:5013,13:13,1465684403,STABLE BEAMS,6500,8631.669894483,2233.905751319,30.3,HFOC
274967:5013,14:14,1465684427,STABLE BEAMS,6500,8629.769597789,4286.920837282,30.3,HFOC
274967:5013,15:15,1465684450,STABLE BEAMS,6500,8626.312185575,1464.329133814,30.3,HFOC
274967:5013,16:16,1465684473,STABLE BEAMS,6500,3404.906046250,3150.427097292,11.9,HFOC
274967:5013,17:17,1465684497,STABLE BEAMS,6500,5792.948988123,5628.347856039,20.3,HFOC
274967:5013,18:18,1465684520,STABLE BEAMS,6500,8125.046544637,5444.597107877,28.5,HFOC
274967:5013,19:19,1465684543,STABLE BEAMS,6500,7777.509422329,2279.270457889,27.3,HFOC
274967:5013,20:20,1465684566,STABLE BEAMS,6500,4524.605123891,4427.293098990,15.9,HFOC
274967:5013,21:21,1465684590,STABLE BEAMS,6500,4770.694782686,4355.560357010,16.7,HFOC
274967:5013,22:22,1465684613,STABLE BEAMS,6500,1611.943136156,1581.401259742,5.7,HFOC
274967:5013,23:23,1465684636,STABLE BEAMS,6500,3908.671614323,3834.285308622,13.7,HFOC
274967:5013,24:24,1465684660,STABLE BEAMS,6500,7569.800813215,4131.950121817,26.6,HFOC
274967:5013,25:25,1465684683,STABLE BEAMS,6500,7157.489048269,6456.511996139,25.1,HFOC
274967:5013,26:26,1465684706,STABLE BEAMS,6500,2777.493825616,2732.947917580,9.7,HFOC
274967:5013,27:27,1465684730,STABLE BEAMS,6500,4175.533817284,3410.089203143,14.7,HFOC
274967:5013,28:28,1465684753,STABLE BEAMS,6500,8587.371040238,1567.800259182,30.1,HFOC
274967:5013,29:29,1465684776,STABLE BEAMS,6500,8483.604362515,1749.691417692,29.8,HFOC
274967:5013,30:30,1465684799,STABLE BEAMS,6500,8478.165895602,2340.590999015,29.8,HFOC
274967:5013,31:31,1465684823,STABLE BEAMS,6500,8415.994749468,4865.273738128,29.5,HFOC
274967:5013,32:32,1465684846,STABLE BEAMS,6500,8068.707048861,2714.871672323,28.3,HFOC
274967:5013,33:33,1465684869,STABLE BEAMS,6500,8338.589984900,488.362119385,29.3,HFOC
274967:5013,34:34,1465684893,STABLE BEAMS,6500,8572.238200192,864.401271802,30.1,HFOC
274967:5013,35:35,1465684916,STABLE BEAMS,6500,8585.244986261,3393.198530635,30.1,HFOC
274967:5013,36:36,1465684939,STABLE BEAMS,6500,8590.360149174,4749.540375106,30.1,HFOC
274967:5013,37:37,1465684963,STABLE BEAMS,6500,8591.083691883,3630.007451428,30.1,HFOC
274967:5013,38:38,1465684986,STABLE BEAMS,6500,8578.987466329,4947.841879018,30.1,HFOC
274967:5013,39:39,1465685009,STABLE BEAMS,6500,8579.293527289,763.895533505,30.1,HFOC
274967:5013,40:40,1465685033,STABLE BEAMS,6500,8576.683902741,0,30.1,HFOC
274967:5013,41:41,1465685056,STABLE BEAMS,6500,8573.002544164,0,30.1,HFOC
274967:5013,42:42,1465685079,STABLE BEAMS,6500,8569.824572814,0,30.1,HFOC
274967:5013,43:43,1465685103,STABLE BEAMS,6500,8565.596154981,0,30.1,HFOC
274967:5013,44:44,1465685126,STABLE BEAMS,6500,8560.855374724,0,30.0,HFOC
274967:5013,45:45,1465685149,STABLE BEAMS,6500,8557.432627482,0,30.0,HFOC
274967:5013,46:46,1465685173,STABLE BEAMS,6500,8554.240068067,0,30.0,HFOC
274967:5013,47:0,1465685196,STABLE BEAMS,6500,8552.857704662,0,30.0,HFOC
274967:5013,48:0,1465685219,STABLE BEAMS,6500,8547.875309831,0,30.0,HFOC
274967:5013,49:0,1465685242,STABLE BEAMS,6500,8543.704975128,0,30.0,HFOC
274967:5013,50:0,1465685266,STABLE BEAMS,6500,8541.342088788,0,30.0,HFOC
274967:5013,51:0,1465685289,STABLE BEAMS,6500,8539.781503638,0,30.0,HFOC
274967:5013,52:0,1465685312,STABLE BEAMS,6500,8535.321004996,0,30.0,HFOC
274967:5013,53:0,1465685336,STABLE BEAMS,6500,8533.860565586,0,29.9,HFOC
274967:5013,54:0,1465685359,STABLE BEAMS,6500,8529.540528058,0,29.9,HFOC
274967:5013,55:0,1465685382,STABLE BEAMS,6500,8527.931850377,0,29.9,HFOC
274967:5013,56:0,1465685406,STABLE BEAMS,6500,8524.033575477,0,29.9,HFOC
274967:5013,57:0,1465685429,STABLE BEAMS,6500,8521.505646042,0,29.9,HFOC
274967:5013,58:0,1465685452,STABLE BEAMS,6500,8516.271468045,0,29.9,HFOC
274967:5013,59:0,1465685476,STABLE BEAMS,6500,8514.500554355,0,29.9,HFOC
274968:5013,1:1,1465685482,STABLE BEAMS,6500,8515.416777590,3072.915341575,29.9,HFOC
274968:5013,2:2,1465685505,STABLE BEAMS,6500,8511.529596595,1743.730564734,29.9,HFOC
274968:5013,3:3,1465685529,STABLE BEAMS,6500,8509.588296358,1169.386090529,29.9,HFOC
274968:5013,4:4,1465685552,STABLE BEAMS,6500,8506.917556842,2873.937146035,29.9,HFOC
