#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
282796:5394,81:0,1476108736,STABLE BEAMS,6500,13338.858267617,0,43.0,HFOC
282796:5394,82:0,1476108760,STABLE BEAMS,6500,13334.337467761,0,43.0,HFOC
282799:5394,1:1,1476108773,STABLE BEAMS,6500,13327.063099510,7.996770395,43.0,HFOC
282799:5394,2:2,1476108796,STABLE BEAMS,6500,13216.407327170,0,42.6,HFOC
282799:5394,3:3,1476108820,STABLE BEAMS,6500,12936.256123352,0,41.7,HFOC
282799:5394,4:0,1476108843,STABLE BEAMS,6500,12937.149909970,0,41.7,HFOC
282799:5394,5:0,1476108866,STABLE BEAMS,6500,12665.998018897,0,40.8,HFOC
282799:5394,6:0,1476108890,STABLE BEAMS,6500,12259.221424205,0,39.5,HFOC
282799:5394,7:0,1476108913,STABLE BEAMS,6500,13264.128005795,0,42.8,HFOC
282799:5394,8:0,1476108936,STABLE BEAMS,6500,13084.473687736,0,42.2,HFOC
282799:5394,9:0,1476108960,STABLE BEAMS,6500,13072.683892111,0,42.1,HFOC
282799:5394,10:0,1476108983,STABLE BEAMS,6500,13070.112773245,0,42.1,HFOC
282799:5394,11:0,1476109006,STABLE BEAMS,6500,13070.640537279,0,42.1,HFOC
282799:5394,12:0,1476109029,STABLE BEAMS,6500,13062.799204449,0,42.1,HFOC
282800:5394,1:1,1476109035,STABLE BEAMS,6500,13067.985887125,12024.643482938,42.1,HFOC
282800:5394,2:2,1476109058,STABLE BEAMS,6500,13074.199452750,12379.748749215,42.1,HFOC
282800:5394,3:3,1476109081,STABLE BEAMS,6500,13055.795022897,12511.675438523,42.1,HFOC
282800:5394,4:4,1476109105,STABLE BEAMS,6500,13031.202407264,12516.590668477,42.0,HFOC
282800:5394,5:5,1476109128,STABLE BEAMS,6500,6958.144574494,6714.889357637,22.4,HFOC
282800:5394,6:6,1476109151,STABLE BEAMS,6500,4028.245771481,4010.312164243,13.0,HFOC
282800:5394,7:7,1476109174,STABLE BEAMS,6500,10690.282956375,10481.501151018,34.5,HFOC
282800:5394,8:8,1476109198,STABLE BEAMS,6500,12100.007367398,11637.373351888,39.0,HFOC
282800:5394,9:9,1476109221,STABLE BEAMS,6500,5997.060664822,5950.656941049,19.3,HFOC
282800:5394,10:10,1476109244,STABLE BEAMS,6500,6339.727451763,6246.300300978,20.4,HFOC
282800:5394,11:11,1476109268,STABLE BEAMS,6500,965.754173848,963.786011442,3.1,HFOC
282800:5394,12:12,1476109291,STABLE BEAMS,6500,5474.516759397,5440.507168254,17.6,HFOC
282800:5394,13:13,1476109314,STABLE BEAMS,6500,11811.987748927,11299.961666438,38.1,HFOC
282800:5394,14:14,1476109338,STABLE BEAMS,6500,6248.922901067,6192.530381478,20.1,HFOC
282800:5394,15:15,1476109361,STABLE BEAMS,6500,1153.069691402,1150.463380213,3.7,HFOC
282800:5394,16:16,1476109384,STABLE BEAMS,6500,12011.739791333,11633.769395486,38.7,HFOC
282800:5394,17:17,1476109408,STABLE BEAMS,6500,12876.986735480,12244.172238274,41.5,HFOC
282800:5394,18:18,1476109431,STABLE BEAMS,6500,12859.980874075,12207.261745066,41.5,HFOC
282800:5394,19:19,1476109454,STABLE BEAMS,6500,12860.933360294,12255.830144629,41.5,HFOC
282800:5394,20:20,1476109478,STABLE BEAMS,6500,12863.374469372,12436.246806160,41.5,HFOC
282800:5394,21:21,1476109501,STABLE BEAMS,6500,12849.613520307,12483.667383206,41.4,HFOC
282800:5394,22:22,1476109524,STABLE BEAMS,6500,12820.603897258,12480.172774032,41.3,HFOC
282800:5394,23:23,1476109547,STABLE BEAMS,6500,12797.626190571,12433.024663799,41.2,HFOC
282800:5394,24:24,1476109571,STABLE BEAMS,6500,12808.852806310,12282.468183918,41.3,HFOC
282800:5394,25:25,1476109594,STABLE BEAMS,6500,12780.689926161,12410.593226991,41.2,HFOC
282800:5394,26:26,1476109617,STABLE BEAMS,6500,12755.113353769,12396.103791993,41.1,HFOC
282800:5394,27:27,1476109641,STABLE BEAMS,6500,12736.446224300,12396.369145294,41.1,HFOC
282800:5394,28:28,1476109664,STABLE BEAMS,6500,12758.109998250,12397.552762717,41.1,HFOC
282800:5394,29:29,1476109687,STABLE BEAMS,6500,12718.790814624,12394.828006262,41.0,HFOC
282800:5394,30:30,1476109711,STABLE BEAMS,6500,12698.605673951,12162.462545428,40.9,HFOC
