#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
274157:4958,103:103,1464436157,STABLE BEAMS,6500,4615.734175783,4342.537805113,22.6,HFOC
274157:4958,104:104,1464436180,STABLE BEAMS,6500,4614.905610853,2668.340407119,22.6,HFOC
274157:4958,105:105,1464436204,STABLE BEAMS,6500,4614.287472418,370.610496689,22.6,HFOC
274157:4958,106:106,1464436227,STABLE BEAMS,6500,4612.642819677,3169.266431698,22.6,HFOC
274157:4958,107:107,1464436250,STABLE BEAMS,6500,4611.562885678,4326.444026594,22.6,HFOC
274157:4958,108:108,1464436274,STABLE BEAMS,6500,4609.962713263,4335.365629155,22.6,HFOC
274157:4958,109:109,1464436297,STABLE BEAMS,6500,4609.668366615,4272.867937568,22.6,HFOC
274157:4958,110:110,1464436320,STABLE BEAMS,6500,4608.369379542,4263.270662111,22.6,HFOC
274157:4958,111:111,1464436344,STABLE BEAMS,6500,4607.118411321,4347.089647032,22.6,HFOC
274157:4958,112:112,1464436367,STABLE BEAMS,6500,4604.812705881,4333.473778301,22.6,HFOC
274157:4958,113:113,1464436390,STABLE BEAMS,6500,4604.033840366,4346.236511517,22.6,HFOC
274157:4958,114:114,1464436413,STABLE BEAMS,6500,4601.344595430,4333.639700980,22.5,HFOC
274157:4958,115:115,1464436437,STABLE BEAMS,6500,4597.527330899,4327.850607721,22.5,HFOC
274157:4958,116:116,1464436460,STABLE BEAMS,6500,4596.918629340,4345.028192212,22.5,HFOC
274157:4958,117:117,1464436483,STABLE BEAMS,6500,4594.961096886,4317.139986304,22.5,HFOC
274157:4958,118:118,1464436507,STABLE BEAMS,6500,4591.015531594,2785.854311558,22.5,HFOC
274157:4958,119:119,1464436530,STABLE BEAMS,6500,4590.191413822,4335.435410876,22.5,HFOC
274157:4958,120:120,1464436553,STABLE BEAMS,6500,4589.056412949,4337.245886254,22.5,HFOC
274157:4958,121:121,1464436577,STABLE BEAMS,6500,4589.094760296,4335.549855284,22.5,HFOC
274157:4958,122:122,1464436600,STABLE BEAMS,6500,4591.277975414,4336.191752459,22.5,HFOC
274157:4958,123:123,1464436623,STABLE BEAMS,6500,4586.844140176,4334.633670912,22.5,HFOC
274157:4958,124:124,1464436647,STABLE BEAMS,6500,4585.714375052,4339.493219159,22.5,HFOC
274157:4958,125:125,1464436670,STABLE BEAMS,6500,4584.703402462,4338.348963373,22.5,HFOC
274157:4958,126:126,1464436693,STABLE BEAMS,6500,4584.172441568,4333.238596772,22.5,HFOC
274157:4958,127:127,1464436717,STABLE BEAMS,6500,4581.686029259,4326.343033738,22.4,HFOC
274157:4958,128:128,1464436740,STABLE BEAMS,6500,4579.792100367,4327.949123351,22.4,HFOC
274157:4958,129:129,1464436763,STABLE BEAMS,6500,4578.879683080,4330.993629015,22.4,HFOC
274157:4958,130:130,1464436786,STABLE BEAMS,6500,4577.056349357,4336.580841398,22.4,HFOC
274157:4958,131:131,1464436810,STABLE BEAMS,6500,4574.136113571,4337.214873050,22.4,HFOC
274157:4958,132:132,1464436833,STABLE BEAMS,6500,4573.200278486,4333.863044514,22.4,HFOC
274157:4958,133:133,1464436856,STABLE BEAMS,6500,4572.057494305,4334.765584155,22.4,HFOC
274157:4958,134:134,1464436880,STABLE BEAMS,6500,4568.552178153,4331.028306027,22.4,HFOC
274157:4958,135:135,1464436903,STABLE BEAMS,6500,4562.531057269,4266.247675714,22.4,HFOC
274157:4958,136:136,1464436926,STABLE BEAMS,6500,4290.627089205,4082.470898713,21.0,HFOC
274157:4958,137:137,1464436950,STABLE BEAMS,6500,1880.357528910,1847.562414906,9.2,HFOC
274157:4958,138:138,1464436973,STABLE BEAMS,6500,3466.964467316,3321.244375961,17.0,HFOC
274157:4958,139:139,1464436996,STABLE BEAMS,6500,4429.189225886,4225.727318365,21.7,HFOC
274157:4958,140:140,1464437020,STABLE BEAMS,6500,3761.896852650,3641.164854752,18.4,HFOC
274157:4958,141:141,1464437043,STABLE BEAMS,6500,2087.127650925,2045.298487485,10.2,HFOC
274157:4958,142:142,1464437066,STABLE BEAMS,6500,2645.075879732,2570.745461864,13.0,HFOC
274157:4958,143:143,1464437089,STABLE BEAMS,6500,637.862184384,629.236997636,3.1,HFOC
274157:4958,144:144,1464437113,STABLE BEAMS,6500,2193.768220233,2151.565776410,10.7,HFOC
274157:4958,145:145,1464437136,STABLE BEAMS,6500,4156.324241315,3977.479260864,20.4,HFOC
274157:4958,146:146,1464437159,STABLE BEAMS,6500,3253.345148220,3163.566700171,15.9,HFOC
274157:4958,147:147,1464437183,STABLE BEAMS,6500,1141.350399361,1124.835574826,5.6,HFOC
274157:4958,148:148,1464437206,STABLE BEAMS,6500,2821.376011591,2733.775449116,13.8,HFOC
274157:4958,149:149,1464437229,STABLE BEAMS,6500,4534.959579912,4305.778906326,22.2,HFOC
274157:4958,150:150,1464437253,STABLE BEAMS,6500,4533.736520701,4306.496999791,22.2,HFOC
274157:4958,151:151,1464437276,STABLE BEAMS,6500,4532.773783794,4306.657844864,22.2,HFOC
274157:4958,152:152,1464437299,STABLE BEAMS,6500,4532.506492059,4307.262923187,22.2,HFOC
274157:4958,153:153,1464437323,STABLE BEAMS,6500,4531.593780728,4302.451645074,22.2,HFOC
274157:4958,154:154,1464437346,STABLE BEAMS,6500,4529.968534676,4250.468811788,22.2,HFOC
274157:4958,155:155,1464437369,STABLE BEAMS,6500,4527.354505659,4230.062571240,22.2,HFOC
274157:4958,156:156,1464437393,STABLE BEAMS,6500,4525.987272937,4228.096059148,22.2,HFOC
274157:4958,157:157,1464437416,STABLE BEAMS,6500,4524.581882825,4172.898943077,22.2,HFOC
274157:4958,158:158,1464437439,STABLE BEAMS,6500,4522.589739866,4295.954490601,22.2,HFOC
274157:4958,159:159,1464437463,STABLE BEAMS,6500,4519.301476914,4284.752662477,22.1,HFOC
274157:4958,160:160,1464437486,STABLE BEAMS,6500,4517.614865062,4295.084150489,22.1,HFOC
274157:4958,161:161,1464437509,STABLE BEAMS,6500,4516.857044044,4292.588485521,22.1,HFOC
274157:4958,162:162,1464437532,STABLE BEAMS,6500,4516.518444496,4299.515476051,22.1,HFOC
274157:4958,163:163,1464437556,STABLE BEAMS,6500,4515.552708866,4297.766677242,22.1,HFOC
274157:4958,164:164,1464437579,STABLE BEAMS,6500,4515.116134587,4297.496669875,22.1,HFOC
274157:4958,165:165,1464437602,STABLE BEAMS,6500,4513.875364155,4287.312635007,22.1,HFOC
274157:4958,166:166,1464437626,STABLE BEAMS,6500,4506.383804982,4229.820801579,22.1,HFOC
274157:4958,167:167,1464437649,STABLE BEAMS,6500,4512.638014305,4286.189134760,22.1,HFOC
274157:4958,168:168,1464437672,STABLE BEAMS,6500,4513.654547077,4295.798525617,22.1,HFOC
274157:4958,169:169,1464437696,STABLE BEAMS,6500,4500.908708332,4290.009782603,22.1,HFOC
274157:4958,170:170,1464437719,STABLE BEAMS,6500,4501.777169125,4291.577830139,22.1,HFOC
274157:4958,171:171,1464437742,STABLE BEAMS,6500,4500.329197099,4285.616288276,22.0,HFOC
274157:4958,172:172,1464437765,STABLE BEAMS,6500,4501.045155182,4287.970179446,22.1,HFOC
274157:4958,173:173,1464437789,STABLE BEAMS,6500,4495.449760675,4275.687191560,22.0,HFOC
274157:4958,174:174,1464437812,STABLE BEAMS,6500,4497.305433562,4287.368067657,22.0,HFOC
274157:4958,175:175,1464437835,STABLE BEAMS,6500,4495.816301819,4286.305002500,22.0,HFOC
274157:4958,176:176,1464437859,STABLE BEAMS,6500,4493.124985771,4279.941108670,22.0,HFOC
274157:4958,177:177,1464437882,STABLE BEAMS,6500,4490.445752559,4273.530198695,22.0,HFOC
274157:4958,178:178,1464437905,STABLE BEAMS,6500,4487.181533920,4277.380498599,22.0,HFOC
